Date & Time,Headline,Text,Source,URL,Sector,Ticker,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Total Sentiment (Compound)
"Fri, 15 Mar 2024 19:21:05 -0400",2024 Q1 Earnings Loom: What Can Investors Expect?,"Q1 earnings are expected to be up +2.1% from the same period last year on +3.4% higher revenues, with the Technology sector again playing a big role in keeping the overall earnings picture positive.",Zacks Investment Research,https://www.zacks.com/commentary/2241690/2024-q1-earnings-loom-what-can-investors-expect?cid=CS-STOCKNEWSAPI-FT-earnings_preview-2241690,technology,ADBE,0.041,0.842,0.117,0.5423
"Fri, 15 Mar 2024 14:59:13 -0400",Will Adobe Get Weaker? This Option Trade Profits If It Does.,Adobe fell hard after earnings and the weakness might not be done. But we can still profit using options.,Investors Business Daily,https://www.investors.com/research/options/adobe-stock-earnings-bearish-butterfly-option/,technology,ADBE,0.141,0.697,0.162,0.4118
"Fri, 15 Mar 2024 14:17:06 -0400",Why Adobe Stock Was Sliding Today,"Adobe beat estimates for its fiscal Q1, but issued disappointing revenue guidance for fiscal Q2. Investors seem skeptical that Adobe is effectively capitalizing on the AI boom.",The Motley Fool,https://www.fool.com/investing/2024/03/15/why-adobe-stock-was-sliding-today/,technology,ADBE,0.176,0.73,0.094,-0.5267
"Fri, 15 Mar 2024 13:40:45 -0400",The Top 3 Long-Term Tech Stocks to Buy and Hold in March 2024,Tech stocks have historically been among the biggest gainers in the market—the last two years are evidence of that. This is why some investors have always advocated a buy-and-hold strategy for stocks brimming with potential.,InvestorPlace,https://investorplace.com/2024/03/the-top-3-long-term-tech-stocks-to-buy-and-hold-in-march-2024/,technology,ADBE,0.0,0.963,0.037,0.2023
"Fri, 15 Mar 2024 11:35:25 -0400",Adobe Stock Plunges As Investors Grouse About Lack Of AI Lift,Adobe stock toppled Friday after the digital media and marketing software firm predicted weaker-than-expected sales for the current quarter.,Investors Business Daily,https://www.investors.com/news/technology/adobe-stock-adbe-weak-forecast-ai-software/,technology,ADBE,0.073,0.927,0.0,-0.3182
"Fri, 15 Mar 2024 11:20:28 -0400","Adobe (ADBE) Q1 Earnings & Revenues Beat Estimates, Rise Y/Y","Adobe's (ADBE) fiscal first-quarter results benefit from the strong momentum across Creative Cloud, Document Cloud and Experience Cloud.",Zacks Investment Research,https://www.zacks.com/stock/news/2241490/adobe-adbe-q1-earnings-revenues-beat-estimates-rise-y-y?cid=CS-STOCKNEWSAPI-FT-analyst_blog|earnings_article-2241490,technology,ADBE,0.0,0.731,0.269,0.8481
"Fri, 15 Mar 2024 11:20:14 -0400",2 Tech Stocks To Watch In Mid-March 2024,Tech stocks to watch in the stock market today.,Stockmarketcom,https://stockmarket.com/featured/2-tech-stocks-to-watch-in-mid-march-2024-2024-03-15,technology,ADBE,0.0,1.0,0.0,0.0
"Fri, 15 Mar 2024 10:26:03 -0400",Adobe shares slump on soft sales outlook,"Adobe Inc (NASDAQ:ADBE) shares plummeted more than 14% after the creative software firm revealed a soft sales outlook for the current quarter. For the fiscal second quarter, Adobe projected revenue in the range of $5.25 billion to $5.3 billion, at the low end of analysts' consensus estimate of $5.3 billion.",Proactive Investors,https://www.proactiveinvestors.com/companies/news/1043286?SNAPI,technology,ADBE,0.034,0.849,0.117,0.6369
"Fri, 15 Mar 2024 10:12:00 -0400","Adobe's stock slides toward worst day in 18 months, as AI story will take time","Adobe Inc. is seen as a potential beneficiary of the artificial-intelligence boom, which could broaden the application of its creative tools.",Market Watch,https://www.marketwatch.com/story/adobes-stock-slides-toward-worst-day-in-18-months-as-ai-story-will-take-time-270668be,technology,ADBE,0.095,0.766,0.139,0.2263
"Fri, 15 Mar 2024 10:04:56 -0400",Why Did Adobe Stock Crash After Earnings?,This could be a buy-the-dip opportunity for long-term investors.,The Motley Fool,https://www.fool.com/investing/2024/03/15/why-did-adobe-stock-crash-after-earnings/,technology,ADBE,0.138,0.718,0.144,0.0258
"Fri, 15 Mar 2024 09:24:49 -0400",Adobe shares drop 12% on weak quarterly revenue guidance,Adobe shares fell 12% during premarket trading on Friday morning after the company reported weak revenue forecast for the current quarter.,CNBC,https://www.cnbc.com/2024/03/15/adobe-shares-drop-12percent-on-weak-quarterly-revenue-guidance-.html,technology,ADBE,0.212,0.67,0.118,-0.5423
"Fri, 15 Mar 2024 08:56:07 -0400",Adobe Stock Reaches Turning Point as Market Outlook is Reset,"Adobe's NASDAQ: ADBE solid performance and outlook for growth will continue to support the price action over time, suggesting a buying opportunity with the post-release dip. The market is down more than 10% in pre-market action, not on signs of weakening but because guidance aligns with the market's expectations.",MarketBeat,https://www.marketbeat.com/originals/adobe-stock-reaches-a-turning-point-as-market-outlook-is-reset/?utm_source=snapi,technology,ADBE,0.026,0.847,0.127,0.5106
"Fri, 15 Mar 2024 07:48:33 -0400","Adobe Stock Drops 11% Despite Earnings Beat, as Revenue Guidance Is Lower Than Wall Street Expected","Fiscal Q1 revenue grew 11% year over year, beating the 10% Wall Street had expected. The quarter's adjusted earnings per share (EPS) jumped 18%, surpassing the 15% analyst consensus estimate.",The Motley Fool,https://www.fool.com/investing/2024/03/15/adbe-stock-earnings-light-guidance-ai-stocks/,technology,ADBE,0.103,0.853,0.044,-0.4588
"Fri, 15 Mar 2024 07:45:00 -0400","These Stocks Are Moving the Most Today: Adobe, Madrigal, Smartsheet, Blink Charging, and Ulta",These stocks were set to make moves on Friday.,Barrons,https://www.barrons.com/articles/stock-market-movers-9286793e,technology,ADBE,0.0,1.0,0.0,0.0
"Fri, 15 Mar 2024 19:19:20 -0400",Why Oracle Stock Popped 12% This Week,Oracle beat earnings estimates for its fiscal third quarter. The company is striving to keep up with demand for its Gen2 Cloud infrastructure business.,The Motley Fool,https://www.fool.com/investing/2024/03/15/why-oracle-stock-popped-12-this-week/,technology,ORCL,0.048,0.952,0.0,-0.128
"Fri, 15 Mar 2024 10:45:24 -0400",Oracle (ORCL) Launches Cloud EPM for Sustainability Solution,"Oracle (ORCL) launches Cloud EPM for Sustainability, enhancing organizational capacity to measure and manage sustainability efforts efficiently.",Zacks Investment Research,https://www.zacks.com/stock/news/2241471/oracle-orcl-launches-cloud-epm-for-sustainability-solution?cid=CS-STOCKNEWSAPI-FT-analyst_blog|company_news_tech_sector-2241471,technology,ORCL,0.0,0.821,0.179,0.6124
"Fri, 15 Mar 2024 10:33:32 -0400","Oracle's Cloud, AI Momentum Is Winning Over Wall Street",Oracle stock won a pair of upgrades following a strong earnings report on Monday. The company's cloud push is gaining steam.,Investors Business Daily,https://www.investors.com/news/technology/oracles-stock-orcl-cloud-ai/,technology,ORCL,0.0,0.663,0.337,0.9217
"Fri, 15 Mar 2024 19:00:00 -0400",Palo Alto Networks Inc. Sued for Securities Law Violations – Investors Should Contact Levi & Korsinsky for More Information – PANW,"NEW YORK, NY / ACCESSWIRE / March 15, 2024 / If you suffered a loss on your Palo Alto Networks Inc. (NASDAQ:PANW) investment and want to learn about a potential recovery under the federal securities laws, follow the link below for more information: https://zlk.com/pslra-1/palo-alto-networks-lawsuit-submission-form?prid=71329&wire=1 or contact Joseph E. Levi, Esq.",Accesswire,https://www.accesswire.com/viewarticle.aspx?id=843744&lang=en,technology,PANW,0.112,0.817,0.072,-0.6369
"Fri, 15 Mar 2024 18:00:00 -0400",Kirby McInerney LLP Reminds Palo Alto Networks (PANW) Investors of Class Action Filing and Encourages Investors to Contact the Firm,"NEW YORK--(BUSINESS WIRE)---- $PANW #Investigation--The law firm of Kirby McInerney LLP reminds investors that a class action lawsuit has been filed in the U.S. District Court for the Northern District of California on behalf of those who acquired Palo Alto Networks (“Palo Alto” or the “Company”) (NASDAQ:PANW) securities during the period of August 18, 2023 through February 20, 2024 inclusive (“the Class Period”). Investors have until April 26, 2024 to apply to the Court to be appointed as lead plaintiff in the lawsuit.",Business Wire,https://www.businesswire.com/news/home/20240315060750/en/Kirby-McInerney-LLP-Reminds-Palo-Alto-Networks-PANW-Investors-of-Class-Action-Filing-and-Encourages-Investors-to-Contact-the-Firm/,technology,PANW,0.035,0.918,0.047,0.3182
"Fri, 15 Mar 2024 18:58:32 -0400",Meta wins court order overturning ruling to stop using name in Brazil,"Facebook-parent Meta on Friday won a Brazilian court order overturning a previous ruling that barred it from using the name in the South American country, due to confusion with another company.",Reuters,https://www.reuters.com/technology/meta-wins-court-order-overturning-ruling-stop-using-name-brazil-2024-03-15/,technology,META,0.087,0.768,0.146,0.6124
"Fri, 15 Mar 2024 10:31:05 -0400",Wall Street Analysts See Meta Platforms (META) as a Buy: Should You Invest?,"The recommendations of Wall Street analysts are often relied on by investors when deciding whether to buy, sell, or hold a stock. Media reports about these brokerage-firm-employed (or sell-side) analysts changing their ratings often affect a stock's price.",Zacks Investment Research,https://www.zacks.com/stock/news/2241325/wall-street-analysts-see-meta-platforms-meta-as-a-buy-should-you-invest?cid=CS-STOCKNEWSAPI-FT-fundamental_analysis|average_broker_rating-2241325,technology,META,0.0,1.0,0.0,0.0
"Fri, 15 Mar 2024 10:10:12 -0400","Meta: Extraordinary Execution, With A TikTok Cherry On Top","Meta's extraordinary execution continues to be underestimated by the market, even after a huge surge in price. I estimate the company will handily beat expectations, and find Meta undervalued at these levels. Meta is probably the biggest beneficiary of a TikTok ban if one were to happen.",Seeking Alpha,https://seekingalpha.com/article/4678490-meta-extraordinary-execution-tiktok-cherry-on-top,technology,META,0.089,0.798,0.113,0.128
"Fri, 15 Mar 2024 18:55:41 -0400",First Solar (FSLR) Suffers a Larger Drop Than the General Market: Key Insights,"First Solar (FSLR) closed at $147.42 in the latest trading session, marking a -1.32% move from the prior day.",Zacks Investment Research,https://www.zacks.com/stock/news/2241687/first-solar-fslr-suffers-a-larger-drop-than-the-general-market-key-insights?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_6v1-2241687,technology,FSLR,0.148,0.852,0.0,-0.6369
"Fri, 15 Mar 2024 10:01:35 -0400","First Solar, Inc. (FSLR) Is a Trending Stock: Facts to Know Before Betting on It","Recently, Zacks.com users have been paying close attention to First Solar (FSLR). This makes it worthwhile to examine what the stock has in store.",Zacks Investment Research,https://www.zacks.com/stock/news/2241268/first-solar-inc-fslr-is-a-trending-stock-facts-to-know-before-betting-on-it?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|most_searched_stocks_-_v1-2241268,technology,FSLR,0.0,0.941,0.059,0.34
"Fri, 15 Mar 2024 09:08:00 -0400",Investing in a Greener Future: 3 Stocks for the Eco-Conscious Investor,"The future is green. The world is progressively becoming more eco-friendly through changes in habits, consumption and even energy sources.",InvestorPlace,https://investorplace.com/2024/03/investing-in-a-greener-future-3-stocks-for-the-eco-conscious-investor/,technology,FSLR,0.0,0.935,0.065,0.2732
